Registreringsland /Skattemæssigt hjemsted;ISIN-kode;Navn ;LEI kode;ASIDENT;CVR/SE/TIN;Navn  ;Første registreringsår
Luxembourg (LU);LU2306575304;Global Sustainable Enhanced Equity Fund - X - NOK;549300W1JV4Z4T54GM32;;;Global Sustainable Enhanced Equity Fund;2022
Luxembourg (LU);LU1244139660;Global Technology Equity Fund;549300OHLAV8MCXB2D69;B82218;;T. ROWE PRICE FUNDS SICAV;2021
Luxembourg (LU);LU1244139827;Global Technology Equity Fund;549300OHLAV8MCXB2D69;B82218;;T. ROWE PRICE FUNDS SICAV;2021
Luxembourg (LU);LU1558474760;Global Technology Equity Fund;549300OHLAV8MCXB2D69;B82218;;T. ROWE PRICE FUNDS SICAV;2021
Luxembourg (LU);LU1244140163;Global Technology Equity Fund;549300OHLAV8MCXB2D69;B82218;;T. ROWE PRICE FUNDS SICAV;2021
Luxembourg (LU);LU1602119973;Global Technology Equity Fund;549300OHLAV8MCXB2D69;B82218;;T. ROWE PRICE FUNDS SICAV;2021
Luxembourg (LU);LU1453466739;Global Technology Equity Fund;549300OHLAV8MCXB2D69;B82218;;T. ROWE PRICE FUNDS SICAV;2021
Luxembourg (LU);LU2213658870;Global Technology Equity Fund;549300OHLAV8MCXB2D69;B82218;;T. ROWE PRICE FUNDS SICAV;2021
Luxembourg (LU);LU1602120047;Global Technology Equity Fund;549300OHLAV8MCXB2D69;B82218;;T. ROWE PRICE FUNDS SICAV;2021
Luxembourg (LU);LU1586386069;Global Technology Equity Fund;549300OHLAV8MCXB2D69;B82218;;T. ROWE PRICE FUNDS SICAV;2021
Luxembourg (LU);LU1382644323;Global Technology Equity Fund;549300OHLAV8MCXB2D69;B82218;;T. ROWE PRICE FUNDS SICAV;2021
Luxembourg (LU);LU1400230865;Global Technology Equity Fund;549300OHLAV8MCXB2D69;B82218;;T. ROWE PRICE FUNDS SICAV;2021
Luxembourg (LU);LU1453466572;Global Technology Equity Fund;549300OHLAV8MCXB2D69;B82218;;T. ROWE PRICE FUNDS SICAV;2021
Luxembourg (LU);LU1737525805;Global Technology Equity Fund;549300OHLAV8MCXB2D69;B82218;;T. ROWE PRICE FUNDS SICAV;2021
Luxembourg (LU);LU1737526019;Global Technology Equity Fund;549300OHLAV8MCXB2D69;B82218;;T. ROWE PRICE FUNDS SICAV;2021
Luxembourg (LU);LU1737525987;Global Technology Equity Fund;549300OHLAV8MCXB2D69;B82218;;T. ROWE PRICE FUNDS SICAV;2021
Luxembourg (LU);LU1737525714;Global Technology Equity Fund;549300OHLAV8MCXB2D69;B82218;;T. ROWE PRICE FUNDS SICAV;2021
Luxembourg (LU);LU1785826154;Global Technology Equity Fund;549300OHLAV8MCXB2D69;B82218;;T. ROWE PRICE FUNDS SICAV;2021
Luxembourg (LU);LU1244139660;Global Technology Equity Fund Class A;549300OHLAV8MCXB2D69;;;T. ROWE PRICE FUNDS SICAV;2022
Luxembourg (LU);LU2314802690;Global Technology Equity Fund Class A0;549300OHLAV8MCXB2D69;;;T. ROWE PRICE FUNDS SICAV;2022
Luxembourg (LU);LU1602120047;Global Technology Equity Fund Class Ah CHF;549300OHLAV8MCXB2D69;;;T. ROWE PRICE FUNDS SICAV;2022
Luxembourg (LU);LU1602119973;Global Technology Equity Fund Class Ah EUR;549300OHLAV8MCXB2D69;;;T. ROWE PRICE FUNDS SICAV;2022
Luxembourg (LU);LU1244139827;Global Technology Equity Fund Class I;549300OHLAV8MCXB2D69;;;T. ROWE PRICE FUNDS SICAV;2022
Luxembourg (LU);LU1382644323;Global Technology Equity Fund Class I EUR;549300OHLAV8MCXB2D69;;;T. ROWE PRICE FUNDS SICAV;2022
Luxembourg (LU);LU2213658870;Global Technology Equity Fund Class I GBP 10;549300OHLAV8MCXB2D69;;;T. ROWE PRICE FUNDS SICAV;2022
Luxembourg (LU);LU1400230865;Global Technology Equity Fund Class I9 USD;549300OHLAV8MCXB2D69;;;T. ROWE PRICE FUNDS SICAV;2022
Luxembourg (LU);LU1244140163;Global Technology Equity Fund Class Q;549300OHLAV8MCXB2D69;;;T. ROWE PRICE FUNDS SICAV;2022
Luxembourg (LU);LU2314802773;Global Technology Equity Fund Class Q0;549300OHLAV8MCXB2D69;;;T. ROWE PRICE FUNDS SICAV;2022
Luxembourg (LU);LU1737525805;Global Technology Equity Fund Class Q1;549300OHLAV8MCXB2D69;;;T. ROWE PRICE FUNDS SICAV;2022
Luxembourg (LU);LU1737525714;Global Technology Equity Fund Class Q1 EUR;549300OHLAV8MCXB2D69;;;T. ROWE PRICE FUNDS SICAV;2022
Luxembourg (LU);LU1586386069;Global Technology Equity Fund Class Qd;549300OHLAV8MCXB2D69;;;T. ROWE PRICE FUNDS SICAV;2022
Luxembourg (LU);LU1737525987;Global Technology Equity Fund Class Qd 1;549300OHLAV8MCXB2D69;;;T. ROWE PRICE FUNDS SICAV;2022
Luxembourg (LU);LU1453466572;Global Technology Equity Fund Class Qd GBP;549300OHLAV8MCXB2D69;;;T. ROWE PRICE FUNDS SICAV;2022
Luxembourg (LU);LU2314802930;Global Technology Equity Fund Class Qd GBP 0;549300OHLAV8MCXB2D69;;;T. ROWE PRICE FUNDS SICAV;2022
Luxembourg (LU);LU2351347567;Global Technology Equity Fund Class Qd0;549300OHLAV8MCXB2D69;;;T. ROWE PRICE FUNDS SICAV;2022
Luxembourg (LU);LU1737526019;Global Technology Equity Fund Class Qd1 GBP;549300OHLAV8MCXB2D69;;;T. ROWE PRICE FUNDS SICAV;2022
Luxembourg (LU);LU1785826154;Global Technology Equity Fund Class Qh 1 EUR;549300OHLAV8MCXB2D69;;;T. ROWE PRICE FUNDS SICAV;2022
Luxembourg (LU);LU1453466739;Global Technology Equity Fund Class Qh EUR;549300OHLAV8MCXB2D69;;;T. ROWE PRICE FUNDS SICAV;2022
Luxembourg (LU);LU2314802856;Global Technology Equity Fund Class Qh EUR 0;549300OHLAV8MCXB2D69;;;T. ROWE PRICE FUNDS SICAV;2022
Luxembourg (LU);LU1558474760;Global Technology Equity Fund Class S;549300OHLAV8MCXB2D69;;;T. ROWE PRICE FUNDS SICAV;2022
Denmark (DK);DK0060782068;Independent Generations Akk ;5299004R58HBSLCQE877;;12888759;Tiedemann Independent A/S;2020
Denmark (DK);DK0060781920;Independent Global Akk ;5299004R58HBSLCQE877;;12888724;Tiedemann Independent A/S;2020
Denmark (DK);DK0060803328;Investeringsforeningen BankInvest Engros Globale Aktier Akk. KL;5493009X6Z2TB2LQHM42;;35458212;Investeringsforeningen BankInvest Engros Globale Aktier Akk. KL;2022
Denmark (DK);DK0060622967;Investeringsforeningen BankInvest, Danske Aktier Akk. KL A;549300NJNI2BKP1PQR21;;34189986;INVESTERINGSFORENINGEN BANKINVEST Danske Aktier Akk KL;2022
Denmark (DK);DK0060823003;Investeringsforeningen BankInvest, Danske Aktier Akk. KL W;549300NJNI2BKP1PQR21;;34189986;INVESTERINGSFORENINGEN BANKINVEST Danske Aktier Akk KL;2022
Denmark (DK);DK0061532595;Investeringsforeningen BankInvest, Danske Aktier Indeks Bæredygtig Akk. KL A;549300VUX4YMTCK3AQ96;;42056790;"INVESTERINGSFORENINGEN BANKINVEST Danske Aktier Indeks Bæredygtig Akk.
KL";2022
Denmark (DK);DK0061532678;Investeringsforeningen BankInvest, Danske Aktier Indeks Bæredygtig Akk. KL W;549300VUX4YMTCK3AQ96;;42056790;"INVESTERINGSFORENINGEN BANKINVEST Danske Aktier Indeks Bæredygtig Akk.
KL";2022
Denmark (DK);DK0061410057;Investeringsforeningen BankInvest, Globale Aktier Akk. (Columbia Threadneedle) KL A;5493003F6HXJOQN29S63;;41497696;INVESTERINGSFORENINGEN BANKINVEST Globale Aktier Akk. KL;2022
Denmark (DK);DK0061410131;Investeringsforeningen BankInvest, Globale Aktier Akk. (Columbia Threadneedle) KL W;5493003F6HXJOQN29S63;;41497696;INVESTERINGSFORENINGEN BANKINVEST Globale Aktier Akk. KL;2022
Denmark (DK);DK0061271699;Investeringsforeningen BankInvest, Globale Aktier Bæredygtig Udvikling Akk. KL A;549300VUX4YMTCK3AQ96;;41093005;"INVESTERINGSFORENINGEN BANKINVEST Globale Aktier Bæredygtig Udvikling
Akk. KL";2022
Denmark (DK);DK0061271772;Investeringsforeningen BankInvest, Globale Aktier Bæredygtig Udvikling Akk. KL W;549300VUX4YMTCK3AQ96;;41093005;"INVESTERINGSFORENINGEN BANKINVEST Globale Aktier Bæredygtig Udvikling
Akk. KL";2022
Denmark (DK);DK0061151362;Investeringsforeningen BankInvest, Højt Udbytte Aktier Akk. KL A;549300VUX4YMTCK3AQ96;;40827021;INVESTERINGSFORENINGEN BANKINVEST Højt Udbytte Aktier Akk. KL;2022
Denmark (DK);DK0061151446;Investeringsforeningen BankInvest, Højt Udbytte Aktier Akk. KL W;549300VUX4YMTCK3AQ96;;40827021;INVESTERINGSFORENINGEN BANKINVEST Højt Udbytte Aktier Akk. KL;2022
Denmark (DK);DK0061269602;Investeringsforeningen Danske Invest Index Europe Restricted - Akkumulerende, klasse DKK;549300GFKM8GG84BXV34;;34189153;Investeringsforeningen Danske Invest Index Europe Restricted - Accumulating KL;2021
Denmark (DK);DK0060607570;Investeringsforeningen Danske Invest Index Europe Restricted - Akkumulerende, klasse DKK W;549300GFKM8GG84BXV34;;34189153;Investeringsforeningen Danske Invest Index Europe Restricted - Accumulating KL;2021
Denmark (DK);DK0061270295;Investeringsforeningen Danske Invest Index Europe Restricted, klass SEK;549300GFKM8GG84BXV34;;34189153;Investeringsforeningen Danske Invest Index Europe Restricted - Accumulating KL;2021
Denmark (DK);DK0060608974;Investeringsforeningen Danske Invest Index Europe Restricted, klass SEK W;549300GFKM8GG84BXV34;;34189153;Investeringsforeningen Danske Invest Index Europe Restricted - Accumulating KL;2021
Denmark (DK);DK0060954964;Investeringsforeningen Danske Invest Index Europe Restricted, klasse NOK;549300GFKM8GG84BXV34;;34189153;Investeringsforeningen Danske Invest Index Europe Restricted - Accumulating KL;2021
Denmark (DK);DK0060607653;Investeringsforeningen Danske Invest Index Europe Restricted, klasse NOK W;549300GFKM8GG84BXV34;;34189153;Investeringsforeningen Danske Invest Index Europe Restricted - Accumulating KL;2021
Denmark (DK);DK0060607737;Investeringsforeningen Danske Invest Index Global AC Restricted - Akkumulerende, klasse DKK W;549300VULQW9XQJXV415;;34188823;Investeringsforeningen Danske Invest Index Global AC Restricted - Accumulating KL;2021
Denmark (DK);DK0060609196;Investeringsforeningen Danske Invest Index Global AC Restricted, klass SEK W;549300VULQW9XQJXV415;;34188823;Investeringsforeningen Danske Invest Index Global AC Restricted - Accumulating KL;2021
Denmark (DK);DK0060607810;Investeringsforeningen Danske Invest Index Global AC Restricted, klasse NOK W;549300VULQW9XQJXV415;;34188823;Investeringsforeningen Danske Invest Index Global AC Restricted - Accumulating KL;2021
Denmark (DK);DK0060609279;Investeringsforeningen Danske Invest Index Global AC Restricted, osuuslaji EUR W;549300VULQW9XQJXV415;;34188823;Investeringsforeningen Danske Invest Index Global AC Restricted - Accumulating KL;2021
Denmark (DK);DK0060955185;Investeringsforeningen Danske Invest Index Global AC Restricted, klasse NOK;549300VULQW9XQJXV415;;34188823;Investeringsforeningen Danske Invest Index Global AC Restricted - Accumulating KL;2021
Denmark (DK);DK0061269792;"Investeringsforeningen Danske Invest Index Global AC Restricted - Akkumulerende, klasse
DKK";549300VULQW9XQJXV415;;34188823;Investeringsforeningen Danske Invest Index Global AC Restricted - Accumulating KL;2021
Denmark (DK);DK0061269875;Investeringsforeningen Danske Invest Index Global Emerging Markets Restricted - Akkumulerende, klasse DKK;549300O77ASICB5HU965;;34188882;Investeringsforeningen Danske Invest Index Global Emerging Markets Restricted - Accumulating KL;2021
Denmark (DK);DK0060608032;Investeringsforeningen Danske Invest Index Global Emerging Markets Restricted - Akkumulerende, klasse DKK W;549300O77ASICB5HU965;;34188882;Investeringsforeningen Danske Invest Index Global Emerging Markets Restricted - Accumulating KL;2021
Denmark (DK);DK0061270451;Investeringsforeningen Danske Invest Index Global Emerging Markets Restricted, klass SEK;549300O77ASICB5HU965;;34188882;Investeringsforeningen Danske Invest Index Global Emerging Markets Restricted - Accumulating KL;2021
Denmark (DK);DK0060609352;Investeringsforeningen Danske Invest Index Global Emerging Markets Restricted, klass SEK W;549300O77ASICB5HU965;;34188882;Investeringsforeningen Danske Invest Index Global Emerging Markets Restricted - Accumulating KL;2021
Denmark (DK);DK0060955268;"Investeringsforeningen Danske Invest Index Global Emerging Markets Restricted, klasse 
NOK";549300O77ASICB5HU965;;34188882;Investeringsforeningen Danske Invest Index Global Emerging Markets Restricted - Accumulating KL;2021
Denmark (DK);DK0060608115;Investeringsforeningen Danske Invest Index Global Emerging Markets Restricted, klasse NOK W;549300O77ASICB5HU965;;34188882;Investeringsforeningen Danske Invest Index Global Emerging Markets Restricted - Accumulating KL;2021
Denmark (DK);DK0060609436;Investeringsforeningen Danske Invest Index Global Emerging Markets Restricted, osuuslaji EUR W;549300O77ASICB5HU965;;34188882;Investeringsforeningen Danske Invest Index Global Emerging Markets Restricted - Accumulating KL;2021
Denmark (DK);DK0061269958;Investeringsforeningen Danske Invest Index Japan Restricted - Akkumulerende, klasse DKK;549300NVBKWH6IS4GK35;;34188939;Investeringsforeningen Danske Invest Index Japan Restricted - Accumulating KL;2021
Denmark (DK);DK0061077104;Investeringsforeningen Danske Invest Index Japan Restricted - Akkumulerende, klasse DKK W;549300NVBKWH6IS4GK35;;34188939;Investeringsforeningen Danske Invest Index Japan Restricted - Accumulating KL;2021
Denmark (DK);DK0060609519;Investeringsforeningen Danske Invest Index Japan Restricted, klass SEK W;549300NVBKWH6IS4GK35;;34188939;Investeringsforeningen Danske Invest Index Japan Restricted - Accumulating KL;2021
Denmark (DK);DK0060955342;Investeringsforeningen Danske Invest Index Japan Restricted, klasse NOK;549300NVBKWH6IS4GK35;;34188939;Investeringsforeningen Danske Invest Index Japan Restricted - Accumulating KL;2021
Denmark (DK);DK0060644771;Investeringsforeningen Danske Invest Index Japan Restricted, klasse NOK W;549300NVBKWH6IS4GK35;;34188939;Investeringsforeningen Danske Invest Index Japan Restricted - Accumulating KL;2021
Denmark (DK);DK0060609782;Investeringsforeningen Danske Invest Index Japan Restricted, osuuslaji EUR W;549300NVBKWH6IS4GK35;;34188939;Investeringsforeningen Danske Invest Index Japan Restricted - Accumulating KL;2021
Denmark (DK);DK0060955425;Investeringsforeningen Danske Invest Index Norway Restricted, klasse NOK;549300EXWLIHBZRYC249;;34188998;Investeringsforeningen Danske Invest Index Norway Restricted - Accumulating KL;2021
Denmark (DK);DK0060608461;Investeringsforeningen Danske Invest Index Norway Restricted, klasse NOK W;549300EXWLIHBZRYC249;;34188998;Investeringsforeningen Danske Invest Index Norway Restricted - Accumulating KL;2021
Denmark (DK);DK0061270022;Investeringsforeningen Danske Invest Index Pacific incl. Canada ex. Japan Restricted - Akkumulerende, klasse DKK;;;34189021;Investeringsforeningen Danske Invest Index Pacific incl. Canada ex. Japan Restricted - Accumulating KL;2021
Denmark (DK);DK0060608545;Investeringsforeningen Danske Invest Index Pacific incl. Canada ex. Japan Restricted - Akkumulerende, klasse DKK W;;;34189021;Investeringsforeningen Danske Invest Index Pacific incl. Canada ex. Japan Restricted - Accumulating KL;2021
Denmark (DK);DK0060609865;Investeringsforeningen Danske Invest Index Pacific incl. Canada ex. Japan Restricted, klass SEK W;;;34189021;Investeringsforeningen Danske Invest Index Pacific incl. Canada ex. Japan Restricted - Accumulating KL;2021
Denmark (DK);DK0060955508;Investeringsforeningen Danske Invest Index Pacific incl. Canada ex. Japan Restricted, klasse NOK W;;;34189021;Investeringsforeningen Danske Invest Index Pacific incl. Canada ex. Japan Restricted - Accumulating KL;2021
Denmark (DK);DK0060609949;Investeringsforeningen Danske Invest Index Pacific incl. Canada ex. Japan Restricted, osuuslaji EUR W;;;34189021;Investeringsforeningen Danske Invest Index Pacific incl. Canada ex. Japan Restricted - Accumulating KL;2021
Denmark (DK);DK0060610012;Investeringsforeningen Danske Invest Index Sweden Restricted, klass SEK W;549300EEEOUNMDLEN392;;34189072;Investeringsforeningen Danske Invest Index Sweden Restricted - Accumulating KL;2021
Denmark (DK);DK0060608628;Investeringsforeningen Danske Invest Index USA Restricted - Akkumulerende, klasse DKK W;549300406IAIIHFSW262;;34189099;Investeringsforeningen Danske Invest Index USA Restricted - Accumulating KL;2021
Denmark (DK);DK0061270964;Investeringsforeningen Danske Invest Index USA Restricted, klass SEK;549300406IAIIHFSW262;;34189099;Investeringsforeningen Danske Invest Index USA Restricted - Accumulating KL;2021
Denmark (DK);DK0060610285;Investeringsforeningen Danske Invest Index USA Restricted, klass SEK W;549300406IAIIHFSW262;;34189099;Investeringsforeningen Danske Invest Index USA Restricted - Accumulating KL;2021
Denmark (DK);DK0060955698;Investeringsforeningen Danske Invest Index USA Restricted, klasse NOK;549300406IAIIHFSW262;;34189099;Investeringsforeningen Danske Invest Index USA Restricted - Accumulating KL;2021
Denmark (DK);DK0061270105;Investeringsforeningen Danske Invest Index USA Restricted, klasse NOK;549300406IAIIHFSW262;;34189099;Investeringsforeningen Danske Invest Index USA Restricted - Accumulating KL;2021
Denmark (DK);DK0060610525;Investeringsforeningen Danske Invest Index USA Restricted, klasse NOK W;549300406IAIIHFSW262;;34189099;Investeringsforeningen Danske Invest Index USA Restricted - Accumulating KL;2021
Denmark (DK);DK0060610368;Investeringsforeningen Danske Invest Index USA Restricted, osuuslaji EUR W;549300406IAIIHFSW262;;34189099;Investeringsforeningen Danske Invest Index USA Restricted - Accumulating KL;2021
Denmark (DK);DK0060610442;Investeringsforeningen Danske Invest Index USA Restricted, osuuslaji EUR W h;549300406IAIIHFSW262;;34189099;Investeringsforeningen Danske Invest Index USA Restricted - Accumulating KL;2021
Denmark (DK);DK0060674844;Investeringsforeningen Investin, Active and Index Portfolio;549300WITQE3NQPHME63;;;;2022
Denmark (DK);DK0060674844;Investeringsforeningen Investin, Active and Index Portfolio;549300WITQE3NQPHME63;;;;2022
Denmark (DK);DK0061272077;Investeringsforeningen Investin, ANNOX Quant Global Equity ESG KL;549300F0GQBBDO60FS90;;40928448;Investeringsforeningen Investin, ANNOX Quant Global Equity ESG KL;2021
Denmark (DK);DK0060032498;Investeringsforeningen ValueInvest Danmark, ValueInvest Global Akk. A;549300EGNWZKHCJ8LR67;;29096600;"INVESTERINGSFORENINGEN VALUEINVEST DANMARK ValueInvest Global
Akkumulerende KL";2022
Denmark (DK);DK0060825214;Investeringsforeningen ValueInvest Danmark, ValueInvest Global Akk. W;549300EGNWZKHCJ8LR67;;29096600;"INVESTERINGSFORENINGEN VALUEINVEST DANMARK ValueInvest Global
Akkumulerende KL";2022
Ireland (IE);IE00BYZK4669;iShares Ageing Population UCITS ETF USD (Acc);549300EXF9FO3TLU7697;;9732276F;iShares Ageing Population UCITS ETF USD (Acc);2020
Ireland (IE);IE00B6R52143;iShares Agribusiness UCITS ETF USD (Acc);549300OCIHQMT943B669;;9744562W;iShares Agribusiness UCITS ETF USD (Acc);2020
Ireland (IE);IE00B14X4T88;iShares Asia Pacific Dividend UCITS ETF USD (Dist);549300U8DFEOGN4SOV98;;6339052M;iShares Asia Pacific Dividend UCITS ETF USD (Dist);2020
Ireland (IE);IE00BYZK4552;iShares Automation & Robotics UCITS ETF USD (Acc);549300Q2LD8E37GTY872;;9732276F;iShares Automation & Robotics UCITS Aggregate;2020
Ireland (IE);IE00BYWZ0333;iShares Automation & Robotics UCITS ETF USD (Dist);549300Q2LD8E37GTY872;;9732276F;iShares Automation & Robotics UCITS Aggregate;2020
Ireland (IE);IE00B1W57M07;iShares BRIC 50 UCITS ETF USD (Dist);549300EA37TEAE6JC450;;6337171K;iShares BRIC 50 UCITS ETF USD (Dist);2020
Ireland (IE);IE00B02KXK85;iShares China Large Cap UCITS ETF USD (Dist);549300RFUO6DRJBMF668;;6339052M;iShares China Large Cap UCITS ETF USD (Dist);2020
Germany (DE);DE0005933931;iShares Core DAX® UCITS ETF (DE);549300CQN9T9XKTT1S19;;143/105/80024;iShares Core DAX® UCITS ETF (DE);2020
Ireland (IE);IE00B53L3W79;iShares Core EURO STOXX 50 UCITS ETF EUR (Acc);549300TW9DVJEUDSXT60;;9520708B;iShares Core EURO STOXX 50 UCITS ETF EUR (Acc);2020
Ireland (IE);IE0008471009;iShares Core EURO STOXX 50 UCITS ETF EUR (Dist);549300JUBEQWJ2YTC363;;6337171K;iShares Core EURO STOXX 50 UCITS ETF EUR (Dist);2020
Ireland (IE);IE00B53HP851;iShares Core FTSE 100 UCITS ETF GBP (Acc);5493003N1TMIMOXBYK56;;9520708B;iShares Core FTSE 100 UCITS ETF GBP (Acc);2020
Ireland (IE);IE0005042456;iShares Core FTSE 100 UCITS ETF GBP (Dist);5493003N1TMIMOXBYK56;;6339052M;iShares Core FTSE 100 UCITS;2020
Ireland (IE);IE00BYZ28W67;iShares Core FTSE 100 UCITS ETF USD Hedged (Acc);5493003N1TMIMOXBYK56;;6339052M;iShares Core FTSE 100 UCITS;2020
Ireland (IE);IE00BKM4GZ66;iShares Core MSCI EM IMI UCITS ETF USD (Acc);549300HAPVPBRLCT6I96;;6339052M;iShares Core MSCI EM IMI UCITS ETF;2020
Ireland (IE);IE00BD45KH83;iShares Core MSCI EM IMI UCITS ETF USD (Dist);549300HAPVPBRLCT6I96;;6339052M;iShares Core MSCI EM IMI UCITS ETF;2020
Ireland (IE);IE00B53QG562;iShares Core MSCI EMU UCITS ETF EUR (Acc);549300YLDSYN6EEWJA95;;9520708B;iShares Core MSCI EMU;2020
Ireland (IE);IE00BYXZ2585;iShares Core MSCI EMU UCITS ETF EUR (Dist);549300YLDSYN6EEWJA95;;9520708B;iShares Core MSCI EMU;2020
Ireland (IE);IE00BKBF6616;iShares Core MSCI EMU UCITS ETF USD Hedged (Acc);549300YLDSYN6EEWJA95;;9520708B;iShares Core MSCI EMU;2020
Ireland (IE);IE00B4K48X80;iShares Core MSCI Europe UCITS ETF EUR (Acc);549300DUUSUNHLKQFH49;;9675767K;iShares Core MSCI Europe UCITS ETF EUR (Acc);2020
Ireland (IE);IE00B1YZSC51;iShares Core MSCI Europe UCITS ETF EUR (Dist);549300TK70XJKT4LZD88;;6337171K;iShares Core MSCI Europe UCITS ETF EUR (Dist);2020
Ireland (IE);IE00B4L5YX21;iShares Core MSCI Japan IMI UCITS ETF USD (Acc);549300YHIXN3L7FNZG03;;9675767K;iShares Core MSCI Japan IMI UCITS ETF Aggregate;2020
Ireland (IE);IE00BFM15T99;iShares Core MSCI Japan IMI UCITS ETF USD (Dist);549300YHIXN3L7FNZG03;;9675767K;iShares Core MSCI Japan IMI UCITS ETF Aggregate;2020
Ireland (IE);IE00B52MJY50;iShares Core MSCI Pacific ex-Japan UCITS ETF USD (Acc);549300I76LFUM6YF2X49;;9520708B;iShares Core MSCI Pacific ex-Japan UCITS ETF USD (Acc);2020
Ireland (IE);IE00B4L5Y983;iShares Core MSCI World UCITS ETF;549300QS4Q1IT6XCA514;;9675767K;iShares Core MSCI World;2020
Ireland (IE);IE00BKBF6H24;iShares Core MSCI World UCITS ETF EUR Hedged (Dist);549300QS4Q1IT6XCA514;;9675767K;iShares Core MSCI World;2020
Ireland (IE);IE00B5BMR087;iShares Core S&P 500 UCITS ETF USD (Acc);5493006ESS9BM09FB892;;9520708B;iShares Core S&P 500 UCITS ETF;2020
Ireland (IE);IE0031442068;iShares Core S&P 500 UCITS ETF USD (Dist);54930084HRJY26SCMW95;;6339052M;iShares Core S&P 500 UCITS ETF USD (Dist);2020
Germany (DE);DE000A0Q4R69;iShares DAX ESG UCITS ETF;549300F1NZRE2EBWKE20;;143/105/80873;iShares DAX ESG UCITS ETF;2022
Ireland (IE);IE00BG0J4C88;iShares Digital Security UCITS ETF;5493000R70WDV8KK4W04;;9744562W;iShares Digital Security UCITS ETF USD;2020
Ireland (IE);IE00BG0J4841;iShares Digital Security UCITS ETF USD (Dist);5493000R70WDV8KK4W04;;9744562W;iShares Digital Security UCITS ETF USD;2020
Ireland (IE);IE00BYZK4883;iShares Digitalisation UCITS ETF USD (Acc);549300ZVJPKCHYMZJE63;;9732276F;iShares Digitalisation UCITS ETF USD (Acc);2020
Ireland (IE);IE00B57X3V84;iShares Dow Jones Global Sustainability Screened UCITS ETF USD (Acc);549300B6H42544K2YG29;;6337171K;iShares Dow Jones Global Sustainability Screened UCITS ETF USD (Acc);2020
Ireland (IE);IE00B53L4350;iShares Dow Jones Industrial Average UCITS ETF USD (Acc);549300L1K8RUOX2MIF18;;9520708B;iShares Dow Jones Industrial Average UCITS ETF;2020
Ireland (IE);IE00BKVL7885;iShares Edge MSCI EM Minimum Volatility ESG UCITS ETF - AGG;549300MBPSR85M301Y29;;9820931C;iShares Edge MSCI EM Minimum Volatility ESG UCITS ETF;2022
Ireland (IE);IE00B8KGV557;iShares Edge MSCI EM Minimum Volatility UCITS ETF USD (Acc);549300IUV6QPGL73HH51;;9820931C;iShares Edge MSCI EM Minimum Volatility UCITS ETF USD (Acc);2020
Ireland (IE);IE00BG0SF994;iShares Edge MSCI EM Quality Factor UCITS ETF -Aggregate;54930025F4TV5FOVK571;;9732276F;iShares Edge MSCI EM Quality Factor UCITS ETF;2022
Ireland (IE);IE00BG0SKF03;iShares Edge MSCI EM Value Factor UCITS ETF USD (Acc);549300GM3P1Y55YCKU46;;9732276F;iShares Edge MSCI EM Value Factor UCITS ETF USD (Acc);2020
Ireland (IE);IE00BKVL7D31;iShares Edge MSCI Europe Minimum Volatility ESG UCITS ETF - ACC;549300U8HE8ULUR0K826;;9820931C;iShares Edge MSCI Europe Minimum Volatility ESG UCITS ETF;2022
Ireland (IE);IE00BMDBM966;iShares Edge MSCI Europe Minimum Volatility ESG UCITS ETF USD Hedged (Acc);549300U8HE8ULUR0K826;;9820931C;iShares Edge MSCI Europe Minimum Volatility ESG UCITS ETF;2022
Ireland (IE);IE00B86MWN23;iShares Edge MSCI Europe Minimum Volatility UCITS ETF EUR (Acc);5493007YEK3XTBFTJX46;;9820931C;iShares Edge MSCI Europe Minimum Volatility UCITS ETF EUR;2020
Ireland (IE);IE00BG13YK79;iShares Edge MSCI Europe Minimum Volatility UCITS ETF EUR (Dist);5493007YEK3XTBFTJX46;;9820931C;iShares Edge MSCI Europe Minimum Volatility UCITS ETF EUR;2020
Ireland (IE);IE00BQN1K786;iShares Edge MSCI Europe Momentum Factor UCITS ETF EUR (Acc);549300V5STXMIYHRXU90;;9732276F;iShares Edge MSCI Europe Momentum Factor UCITS ETF EUR Aggregate;2020
Ireland (IE);IE00BG13YJ64;iShares Edge MSCI Europe Momentum Factor UCITS ETF EUR (Dist);549300V5STXMIYHRXU90;;9732276F;iShares Edge MSCI Europe Momentum Factor UCITS ETF EUR Aggregate;2020
Ireland (IE);IE00BZ0PKV06;iShares Edge MSCI Europe Multifactor UCITS ETF EUR (Acc);549300P90JH4AUVK4N43;;9732276F;iShares Edge MSCI Europe Multifactor UCITS ETF EUR Aggregate;2020
Ireland (IE);IE00BG13YL86;iShares Edge MSCI Europe Multifactor UCITS ETF EUR (Dist);549300P90JH4AUVK4N43;;9732276F;iShares Edge MSCI Europe Multifactor UCITS ETF EUR Aggregate;2020
Ireland (IE);IE00BQN1K562;iShares Edge MSCI Europe Quality Factor UCITS ETF EUR (Acc);549300IJLMFQS0CRMH83;;9732276F;iShares Edge MSCI Europe Quality Factor UCITS ETF;2020
Ireland (IE);IE00BG13YG34;iShares Edge MSCI Europe Quality Factor UCITS ETF EUR (Dist);549300IJLMFQS0CRMH83;;9732276F;iShares Edge MSCI Europe Quality Factor UCITS ETF;2020
